time_stamp	px_state	py_state	v_state	yaw_angle_state	yaw_rate_state	sensor_type	NIS	px_measured	py_measured	px_ground_truth	py_ground_truth	vx_ground_truth	vy_ground_truth
1477010445650000	13.9371	2.69342	5.06784	0.451632	0.276536	radar	0.238588	13.8302	2.73893	13.9208	2.7643	4.48147	2.31134
1477010445700000	14.1649	2.84691	5.08943	0.48309	0.296817	lidar	0.672022	14.2106	2.94205	14.1439	2.88179	4.43656	2.38601
1477010445750000	14.4133	2.95459	5.14188	0.48502	0.276615	radar	1.50842	14.5568	2.87021	14.3646	3.00303	4.38974	2.46099
1477010445800000	14.6204	3.03091	5.09598	0.482931	0.25886	lidar	2.18093	14.4616	2.90734	14.583	3.12802	4.34097	2.5362
1477010445850000	14.8506	3.18075	5.14401	0.504696	0.26534	radar	3.91624	14.6754	3.96041	14.7989	3.25679	4.29021	2.61157
1477010445900000	15.057	3.37226	5.16381	0.54822	0.300188	lidar	1.26285	15.0261	3.5067	15.0122	3.38932	4.23744	2.68703
1477010445950000	15.2688	3.53672	5.15653	0.578769	0.321185	radar	2.5581	15.3685	4.14761	15.2228	3.52563	4.18263	2.76249
1477010446000000	15.4814	3.72424	5.18373	0.613329	0.342117	lidar	0.776831	15.5236	3.82936	15.4306	3.66572	4.12575	2.83789
1477010446050000	15.6934	3.85823	5.17334	0.623475	0.334365	radar	0.930408	15.7234	3.4105	15.6355	3.80957	4.06678	2.91315
1477010446100000	15.9144	4.00347	5.18108	0.634782	0.327967	lidar	0.213002	15.9774	4.00094	15.8375	3.95719	4.00571	2.98817
1477010446150000	16.1108	4.16763	5.14723	0.662169	0.3472	radar	1.79785	16.3376	4.21632	16.0363	4.10854	3.94251	3.0629
1477010446200000	16.3081	4.36235	5.16976	0.693686	0.363031	lidar	0.451432	16.3313	4.44499	16.2319	4.26363	3.87716	3.13723
1477010446250000	16.518	4.52556	5.18389	0.706695	0.355809	radar	0.640654	16.7586	4.48231	16.4242	4.42242	3.80966	3.21109
1477010446300000	16.6967	4.6956	5.16801	0.728285	0.360497	lidar	0.472803	16.6039	4.67344	16.613	4.5849	3.74	3.28438
1477010446350000	16.8508	4.89179	5.09797	0.774871	0.408154	radar	4.78461	16.9236	5.10119	16.7983	4.75103	3.66817	3.35704
1477010446400000	17.0159	5.11541	5.12186	0.814414	0.429519	lidar	0.623357	16.9955	5.21099	16.9799	4.92077	3.59416	3.42897
1477010446450000	17.1854	5.28906	5.09331	0.835061	0.432909	radar	1.79863	17.3421	4.64623	17.1579	5.09409	3.51797	3.50008
1477010446500000	17.3459	5.47097	5.07837	0.855852	0.432297	lidar	0.231573	17.2894	5.43542	17.3319	5.27094	3.4396	3.57028
1477010446550000	17.5012	5.64531	5.03683	0.877845	0.438886	radar	3.38111	17.6463	4.74597	17.5019	5.45128	3.35907	3.63949
1477010446600000	17.6957	5.77115	4.99899	0.867392	0.403121	lidar	1.90463	17.7853	5.62476	17.6679	5.63506	3.27637	3.70762
1477010446650000	17.8378	5.97229	4.96882	0.902079	0.428282	radar	1.28438	17.9216	6.07151	17.8297	5.82221	3.19151	3.77458
1477010446700000	18.0133	6.1598	4.97863	0.913983	0.417309	lidar	0.687946	18.1263	6.16985	17.9872	6.01269	3.10453	3.84027
1477010446750000	18.1613	6.36908	4.98644	0.939283	0.422898	radar	0.652965	18.1245	6.79027	18.1402	6.20641	3.01542	3.90462
1477010446800000	18.2841	6.6024	5.00222	0.976207	0.440342	lidar	0.504848	18.2164	6.66138	18.2888	6.40332	2.92421	3.96753
1477010446850000	18.4146	6.8181	4.99724	1.00506	0.45126	radar	0.277868	18.4022	7.02231	18.4328	6.60333	2.83093	4.0289
1477010446900000	18.5638	6.95794	4.93081	1.00125	0.423173	lidar	2.37917	18.5422	6.76013	18.572	6.80638	2.7356	4.08867
1477010446950000	18.7117	7.16496	4.95367	1.01204	0.405646	radar	0.561562	18.8089	7.24388	18.7064	7.01237	2.63825	4.14672
1477010447000000	18.9091	7.30407	4.91798	0.990908	0.36016	lidar	4.2026	19.1441	7.18344	18.8359	7.22122	2.53893	4.20299
1477010447050000	18.996	7.51338	4.86253	1.03326	0.39956	radar	4.27379	18.5479	7.4012	18.9604	7.43283	2.43767	4.25737
1477010447100000	19.0887	7.76878	4.89602	1.07493	0.423146	lidar	0.994849	19.0138	7.8688	19.0798	7.64712	2.3345	4.3098
1477010447150000	19.2083	7.97816	4.89439	1.09125	0.416302	radar	0.298611	19.3089	7.67375	19.1939	7.86397	2.22949	4.36017
1477010447200000	19.2887	8.19181	4.8718	1.12081	0.426403	lidar	1.49075	19.132	8.12845	19.3028	8.08329	2.12266	4.40842
1477010447250000	19.3867	8.40436	4.86955	1.13795	0.416732	radar	2.32261	19.0239	8.17194	19.4062	8.30497	2.01409	4.45445
1477010447300000	19.4823	8.55526	4.78252	1.14311	0.401136	lidar	4.34998	19.347	8.30741	19.5042	8.5289	1.90381	4.49819
1477010447350000	19.5718	8.76749	4.76333	1.16748	0.41028	radar	0.644914	19.6843	8.35902	19.5966	8.75494	1.7919	4.53956
1477010447400000	19.7341	8.93965	4.74032	1.15245	0.371783	lidar	4.29983	20.0039	8.8906	19.6835	8.983	1.67841	4.57848
1477010447450000	19.8059	9.16436	4.72291	1.18688	0.397435	radar	1.03934	19.6061	9.48659	19.7645	9.21294	1.56341	4.61488
1477010447500000	19.9375	9.38419	4.74388	1.19068	0.379517	lidar	2.84607	20.1574	9.45949	19.8398	9.44463	1.44697	4.64869
1477010447550000	19.9814	9.60997	4.70646	1.23645	0.423016	radar	2.84595	19.6163	9.76606	19.9093	9.67795	1.32916	4.67984
1477010447600000	20.0704	9.84426	4.72661	1.25477	0.419597	lidar	0.608481	20.1573	9.90876	19.9728	9.91275	1.21005	4.70826
